Business Understanding;Data Acquisition and Exploration;Modeling;Validation;Deployment;Monitoring;Which of the following problems impacted the Data Science projects you have taken part in the most?;How common are project delays?;Which methodology do you or your team use in Data Science projects?;What is your profession?;Submitted At;Token
10;8;6;6;8;7;Ill-defined problem or business objectives, Poor communication, Late/low engagement of stakeholders;6;None;Manager;4/17/2020 20:37:59;29j3zmdjtn978wu29j3qnqp7ls6ophy6
8;7;5;2;1;3;Ill-defined problem or business objectives;8;Scrum;Manager;4/20/2020 20:12:59;u9hy8ra7zm7zr3enrp01u9hy8rs1y58v
9;8;6;8;7;7;Poor communication, Ill-defined problem or business objectives, Late/low engagement of stakeholders;7;Kanban;Data Scientist;4/22/2020 18:07:39;k60zc8or2xhq4k4k60zypgpecyykof7c
7;9;6;8;10;2;Late/low engagement of stakeholders, Ineffective coordination between teams;7;QuantumBlack One;Data Scientist;4/30/2020 1:34:24;5yvwfdr20mznoe5yvwxufr1m6fcg1lev
6;5;5;5;8;2;Ill-defined problem or business objectives;10;Kanban;Vice President;4/30/2020 1:46:10;gkja77g9mcx7yl4ug1pgkjat9equ7ijg
4;8;3;9;1;4;Frequent delays, Ineffective coordination between teams, Useless data entries made by users;8;Kanban;Manager;4/30/2020 1:49:02;29s5tz2d7rpfr3gg7o7p029s5tz2d732
8;7;2;9;10;10;The options are very biased toward management issues, not data science project itself. None of these apply to me.;3;Kanban;Data Scientist;4/30/2020 2:10:35;o7y6iz6uevyrkirmo7y66jedauy2lzs9
3;8;4;7;9;10;Ill-defined problem or business objectives;7;Kanban;Machine Learning Engineer;4/30/2020 9:23:44;dtx8520iywm2bdtxh5rk5bwbha5k4pxk
6;8;6;7;6;6;Ill-defined problem or business objectives, Ineffective coordination between teams;6;Kanban;Data Scientist;4/30/2020 9:24:02;lybd499tnqllybdgt8gpy5j7yy3dajis
3;3;5;7;1;3;Ineffective coordination between teams;5;Kanban;Data Analyst;4/30/2020 9:24:42;7nbqop67kdr4zhfoal7nbassaxlpwqa1
2;4;4;2;7;1;Ineffective coordination between teams, Ill-defined problem or business objectives, Late/low engagement of stakeholders;6;Kanban;Manager;4/30/2020 9:38:40;yznby3jan0gnmzqfuuiv6yznby3xgd1v
6;7;6;6;5;7;Ill-defined problem or business objectives, Ineffective coordination between teams;6;CRISP-DM;Data Scientist;4/30/2020 11:45:49;aqosm521zfa70d8aqovqdwtlmp6rgpw2
9;5;3;7;9;5;Ill-defined problem or business objectives;8;None;Manager;4/30/2020 13:55:23;udd1k69dqe7i3dgewrudd1kxp733ibyw
8;8;9;7;10;6;Late/low engagement of stakeholders, Frequent delays;8;Scrum;Data Scientist;4/30/2020 14:17:32;amoy7c278b4uvjlq2oqrvamoy3nmimv5
9;5;8;9;9;9;Ill-defined problem or business objectives;8;Kanban;Data Scientist;4/30/2020 14:42:51;nk4n2dvmhtg5ay3nk4n26g3l8h8m2rc1
2;6;6;6;9;7;The amount of data;5;None;Data Scientist;5/2/2020 13:28:56;jf0kuzhfwph9apa7gjfa4mnrzbv7lglc
10;6;6;7;5;7;Ineffective coordination between teams, Late/low engagement of stakeholders;5;CRISP-DM;Data Scientist;5/3/2020 19:35:05;jqst1le86s0sysczibjqst1le838v2v8
5;10;6;7;10;10;Ill-defined problem or business objectives;8;None;Data Analyst;5/4/2020 13:04:04;ir02zff48pna8uuhir02zfp0t3hia1qf
8;8;5;6;6;5;Late/low engagement of stakeholders, Ill-defined problem or business objectives;7;Scrum;Data Scientist;5/4/2020 17:39:54;4uud5vjjmfl7gcgla7p1e4uud5vjrtso
5;7;7;7;8;5;Late/low engagement of stakeholders;2;None;Data Analyst;5/4/2020 17:40:05;p9k9cf1dlslgcx9hp9k91oftoag37zzp
6;8;3;8;10;8;Ill-defined problem or business objectives;8;Scrum;Data Analyst;5/4/2020 17:40:07;21pi23qrywsn7z4v421pi23rm0ixevj3
2;4;9;8;7;5;Ineffective coordination between teams, Late/low engagement of stakeholders;2;Kanban;Data Analyst;5/4/2020 17:42:12;w2khlpbinmhmpssfgucw2khl1ufoeywz
7;6;6;6;7;6;Poor communication;0;CRISP-DM;Data Scientist;5/4/2020 17:43:23;3v5k424r7s90eifsj3v5k42jinww3a0d
4;7;5;6;3;5;Late/low engagement of stakeholders, Ill-defined problem or business objectives, Ineffective coordination between teams;5;Scrum;Data Analyst;5/4/2020 17:44:15;bmux0fmjq6uev7ig43bmux0fbo3e7gb6
8;5;5;3;5;7;Late/low engagement of stakeholders, Ill-defined problem or business objectives;6;Kanban;Data Engineer;5/4/2020 17:45:09;9g7qc2qiy0jyxdyblm9g7qce3uocgq27
7;7;6;9;6;6;Ill-defined problem or business objectives;7;None;Data Analyst;5/4/2020 17:49:55;6fho98cn3r973soxjh4ylc86fho98cmh
7;2;2;2;10;7;Poor communication, Ill-defined problem or business objectives, Late/low engagement of stakeholders;6;Scrum;Data Engineer;5/4/2020 18:05:41;soorj6eivoshhbw3soorjcverqt8zdnn
5;8;8;6;6;6;Ill-defined problem or business objectives;5;None;Data Analyst;5/4/2020 19:16:50;xgggj42unh7yw3nh590khxgggjmdsx2d
4;6;9;7;6;3;Ill-defined problem or business objectives, Poor communication;8;Scrum;Data Analyst;5/4/2020 19:20:54;p35nxnsgs6wcsp35nxfwkaxmv83sh8jo
9;8;3;6;8;8;Ineffective coordination between teams, Late/low engagement of stakeholders, Ill-defined problem or business objectives;8;Kanban;Data Scientist;5/4/2020 20:21:19;wd78o6d310cba5ahxv6iuwd78oeakbs8
3;4;7;7;3;3;Ill-defined problem or business objectives, Poor communication, Frequent delays;7;Kanban;Data Scientist;5/5/2020 16:32:53;9e44q0j1uh8tvz6lw39e44yrq9g82l0s
7;4;2;7;9;5;Late/low engagement of stakeholders, Frequent delays, Ill-defined problem or business objectives;10;Scrum;Manager;5/5/2020 16:33:59;in2nwlq7wx0i0ummmin2nwf472eevbjl
8;10;6;7;9;7;Late/low engagement of stakeholders, Ineffective coordination between teams, Ill-defined problem or business objectives;8;Kanban;Data Scientist;5/5/2020 16:34:53;z5eyoveaj2kwdqeu6id9z5eyov2hht7t
8;8;3;6;7;7;Poor communication, Ill-defined problem or business objectives, Frequent delays;8;None;Data Scientist;5/5/2020 16:36:20;6scoeq50eqs58lrtzlmx4s86scoeqkx0
6;8;4;2;7;3;Poor communication, Late/low engagement of stakeholders, Ill-defined problem or business objectives;4;Kanban;Manager;5/5/2020 16:36:38;053dd1102vrze7x1hh053ddlb8pm412q
10;7;2;5;3;7;Ineffective coordination between teams, Ill-defined problem or business objectives;3;CRISP-DM;Data Scientist;5/5/2020 16:39:32;q7x4jip0rfvr227d53q7x4jipj0ipq5y
7;10;6;8;10;7;Ill-defined problem or business objectives, Poor communication, Frequent delays;8;Scrum;Data Scientist;5/5/2020 16:43:55;terck3y7uee642pc3og39u4terck3y74
0;6;5;5;8;2;Poor communication, Ineffective coordination between teams, Frequent delays;6;Kanban;Data Scientist;5/5/2020 16:46:58;gh8nv3752aqb8h2gh8nv371z1ta87cpv
6;6;4;6;6;7;Ill-defined problem or business objectives, Frequent delays, Poor communication;7;Kanban;Data Scientist;5/5/2020 16:49:42;hsjba1bvk286ekku4hsjbintv6vme7bz
6;7;6;7;8;6;Ill-defined problem or business objectives;8;Kanban;Data Scientist;5/5/2020 16:50:09;jdsitseu485n3dnyjds0ro33vbhpfi2a
8;10;7;8;5;7;Late/low engagement of stakeholders;8;Scrum;Data Engineer;5/5/2020 16:59:15;69nreycpdqakr7jc169nr9nv5zxhg712
10;4;5;5;6;8;Late/low engagement of stakeholders;6;CRISP-DM;Data Scientist;5/5/2020 17:01:39;60sjvl2r02qqw1860sjv7t9nh9sh61z8
2;8;5;5;9;7;Late/low engagement of stakeholders, Poor communication;6;Scrum;Machine Learning Engineer;5/5/2020 17:06:30;6gpib8n1qayrhwl9wucb7a6gpib8nqy4
3;5;4;6;3;1;Ill-defined problem or business objectives;3;Kanban;Data Scientist;5/5/2020 17:14:47;cvjrqvispbovorcvjrqcl2qwnnfixiai
10;8;6;10;10;10;Late/low engagement of stakeholders;8;Kanban;Data Engineer;5/5/2020 17:41:22;mn2qrmedzyf3tmhmn2qou4r2a8u59o84
7;3;6;9;7;2;Poor communication, Ineffective coordination between teams, Ill-defined problem or business objectives;6;Scrum;Data Scientist;5/5/2020 18:02:22;58ywgmqnsloainkst258ywgmqlfa6d2l
10;6;6;10;10;7;Late/low engagement of stakeholders, Ill-defined problem or business objectives, Ineffective coordination between teams;5;CRISP-DM;Data Scientist;5/5/2020 18:09:11;vv49ovnozm77o9ajfjpvv49odi35ml32
7;8;5;6;6;6;Ill-defined problem or business objectives;5;CRISP-DM;Data Scientist;5/5/2020 18:09:52;fbtlmzwgo1e3x9hx4fbtlmzqahc85gap
2;5;1;1;7;2;Late/low engagement of stakeholders;4;Kanban;Manager;5/5/2020 18:26:09;7k3qv1ft1upqzh4a6gcgjv7k3qv1fsu9
7;9;5;3;10;9;Late/low engagement of stakeholders;8;Scrum;Data Engineer;5/5/2020 19:31:53;6w4wy6drnozh8p476493d6w4wynjm427
7;10;9;5;5;5;Ineffective coordination between teams, Late/low engagement of stakeholders;7;Scrum;Data Scientist;5/5/2020 20:10:51;9ji1ldjv48k75tkc4l9ji1lhb345vd1o
6;8;4;7;7;7;Ineffective coordination between teams, Ill-defined problem or business objectives;7;Scrum;Manager;5/5/2020 20:55:42;cn6x5cs5nmtuorbcn6x5m01wut4wnrdt
5;8;9;3;6;5;Ineffective coordination between teams, Ill-defined problem or business objectives, Late/low engagement of stakeholders;7;Scrum;Data Scientist;5/5/2020 21:19:11;oecch120398ic5y85oeccohlnvq6uolu
9;3;7;9;1;3;Ill-defined problem or business objectives;7;Kanban;Manager;5/6/2020 17:32:34;tv9x7wo3b93yunqzcl2zpc9tv9x7wo6m
5;2;4;2;3;1;Poor communication, Ill-defined problem or business objectives, Ineffective coordination between teams;7;Microsoft TDSP;Data Analyst;5/7/2020 5:53:35;f8swqbftha4oeor7cf8swqtuazpzxedz
9;4;6;8;5;7;Ill-defined problem or business objectives, Poor communication, Late/low engagement of stakeholders;4;CRISP-DM;Manager;5/8/2020 2:58:06;orjis2yhe4mg0achyb3ccorjis2yiuye
